,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
230,z05k0jom,231,https://www.speedrun.com/sm64/runs/z05k0jom,2020-08-09T05:03:05Z,507.0,507.0,o86q79qx,YobunTeme,Japan,N64,Yes
231,megkw43y,231,https://www.speedrun.com/sm64/runs/megkw43y,2024-07-14T19:50:08Z,507.0,507.0,xk3y91m8,ChefNick,United States,VC,Yes
232,mk0704xz,233,https://www.speedrun.com/sm64/runs/mk0704xz,2023-06-05T04:49:53Z,508.0,508.0,x72zygq8,Avasion,United States,EMU,Yes
233,melelq2z,234,https://www.speedrun.com/sm64/runs/melelq2z,2023-07-08T02:02:07Z,509.0,509.0,8gee0n2j,Doginator,United States,N64,Yes
234,y8929kwm,235,https://www.speedrun.com/sm64/runs/y8929kwm,2018-07-23T19:52:44Z,511.0,511.0,pj0l653j,FailmanFlo,Germany,VC,Yes
235,y9d1n12m,235,https://www.speedrun.com/sm64/runs/y9d1n12m,2024-08-02T02:06:21Z,511.0,511.0,8wk3k038,Elrevolver385,Germany,VC,Yes
236,z166qk9m,235,https://www.speedrun.com/sm64/runs/z166qk9m,2025-08-12T22:19:42Z,511.0,511.0,8dw9eqmj,Logaaaaan64,Australia,N64,Yes
237,yvq5p7xm,238,https://www.speedrun.com/sm64/runs/yvq5p7xm,2022-03-07T21:17:19Z,512.0,512.0,18vdp928,FrostySeason,Sweden,N64,Yes
238,y62okl6z,239,https://www.speedrun.com/sm64/runs/y62okl6z,2023-07-09T23:09:38Z,513.0,513.0,joo4ykej,Battaflai,Germany,EMU,Yes
239,znp350vm,240,https://www.speedrun.com/sm64/runs/znp350vm,2022-05-06T18:53:50Z,514.0,514.0,18v7n5n8,Nyx64,Ireland,EMU,Yes
240,zqv68e9m,241,https://www.speedrun.com/sm64/runs/zqv68e9m,2021-07-31T18:22:24Z,515.0,515.0,7j43q6w8,JayBeanz,United States,N64,Yes
241,mk4w3dvy,242,https://www.speedrun.com/sm64/runs/mk4w3dvy,2018-02-20T21:46:22Z,516.0,516.0,kjp9p28q,Sigotu,Poland,EMU,Yes
242,y65kdn1z,242,https://www.speedrun.com/sm64/runs/y65kdn1z,2020-08-31T05:20:59Z,516.0,516.0,qxkk329x,JCoolEdge,South Korea,EMU,Yes
243,z52eo05z,244,https://www.speedrun.com/sm64/runs/z52eo05z,2022-06-07T02:13:44Z,517.0,517.0,8qz5qoq8,BizzareScape,Mexico,N64,Yes
244,nz1lov9m,245,https://www.speedrun.com/sm64/runs/nz1lov9m,2016-06-07T09:37:48Z,518.0,518.0,18vkpkyj,KobrahCJ,United States,N64,Yes
245,z0xv1d4z,245,https://www.speedrun.com/sm64/runs/z0xv1d4z,2024-02-07T11:54:12Z,518.0,518.0,x3mndr28,Nico2718,Italy,VC,Yes
246,yo097v5y,245,https://www.speedrun.com/sm64/runs/yo097v5y,2024-03-20T23:54:25Z,518.0,518.0,xyrkgynj,Jando112,Germany,EMU,Yes
247,zqj8nv9m,248,https://www.speedrun.com/sm64/runs/zqj8nv9m,2023-07-23T19:19:13Z,519.0,519.0,jn9qe22x,Famin,United States,EMU,Yes
248,yj96k47z,248,https://www.speedrun.com/sm64/runs/yj96k47z,2024-07-31T22:40:56Z,519.0,519.0,8e6qyddj,Salemba,Austria,N64,Yes
